Year,GroupName,TotalRunSize,Alaskan Catch,Canadian Catch,Washington Catch
2000,EStu,410606,2,238368,1828
2000,ESum,858337,371,300998,59687
2000,Late,736145,375,282190,89966
2000,Summ,3218941,1746,1142856,342236
2001,EStu,224610,0,44762,0
2001,ESum,397831,386,59045,6401
2001,Late,392506,4216,50692,8550
2001,Summ,6170150,38156,1165616,226331
2002,EStu,62129,0,8229,4
2002,ESum,769676,35,211947,41936
2002,Late,7767682,262,1232410,124266
2002,Summ,6786369,455,2318912,281846
2003,ESum,447076,6293,187250,23904
2003,Late,1374450,19721,433770,52995
2003,Summ,3002742,41732,1412502,167888
2003,EStu,29116,0,3990,0
2004,ESum,1097022,6146,475904,39424
2004,Late,337015,13838,79867,16959
2004,Summ,2698268,43129,1467027,137145
2004,EStu,124214,0,45269,233
2005,EStu,208997,22,21069,40
2005,ESum,290365,15363,59260,2774
2005,Late,428670,31000,52550,15210
2005,Summ,5978070,264541,1131013,183366
2006,EStu,55574,66,6817,6
2006,ESum,1599924,7939,551279,123969
2006,Late,8647022,20735,2952408,390734
2006,Summ,2734142,7926,1189131,192158
2007,ESum,134003,18954,16113,3
2007,Late,430269,59526,42950,2089
2007,Summ,997107,87068,175173,1311
2007,EStu,16222,0,1086,0
2008,EStu,35766,149,3071,0
2008,ESum,394140,7,98869,8794
2008,Late,206450,229,30312,3081
2008,Summ,1081506,1362,389399,37504
2009,EStu,79876,247,7728,1
2009,ESum,122127,465,12187,254
2009,Late,257886,3622,11997,1405
2009,Summ,1129397,8600,73898,2639
2010,EStu,105123,0,6175,203
2010,ESum,2892989,0,985587,218652
2010,Late,18091687,0,8374766,1273696
2010,Summ,7110838,0,2274732,467137
2011,EStu,25202,15,2234,13
2011,ESum,415796,905,137521,10727
2011,Late,1124448,4587,348180,86197
2011,Summ,3555697,12783,977926,181870
2012,EStu,183641,10,8764,0
2012,ESum,474207,163,68723,8279
2012,Late,143712,716,36249,12508
2012,Summ,1257861,6312,430820,90524
2013,EStu,182010,52,11394,0
2013,ESum,356233,975,56568,1292
2013,Late,781273,8943,44496,5455
2013,Summ,2866552,36466,398492,13450
2014,ESum,1769830,17553,799925,18821
2014,Late,8520048,50742,5095808,487363
2014,Summ,8468441,117420,4350832,195426
2014,EStu,127439,0,25472,7
2015,ESum,285046,9842,39516,5792
2015,Late,117795,10702,6252,2552
2015,Summ,1574055,83874,179313,37830
2015,EStu,28727,0,807,0
2016,EStu,17823,169,1642,6
2016,ESum,223780,3096,26698,632
2016,Late,63849,2011,6121,88
2016,Summ,526933,30153,123579,944
2017,EStu,22287,48,2960,0
2017,ESum,95332,1420,3347,26
2017,Late,124392,1474,6593,598
2017,Summ,1031763,15726,72801,853
2018,EStu,94467,177,7760,577
2018,ESum,1916899,11020,601926,191549
2018,Late,4474793,21236,2375714,310819
2018,Summ,4543484,21301,1858919,490599
2019,EStu,25639,121,88,1
2019,ESum,116367,6766,1108,54
2019,Late,22854,4106,276,88
2019,Summ,405268,66644,5090,332
2020,EStu,20167,28,139,0
2020,ESum,108166,733,1626,0
2020,Late,9065,581,136,0
2020,Summ,257002,6111,14078,0
2021,ESum,155636,5861,2513,2
2021,Late,271006,13285,11925,2
2021,Summ,1929079,67651,91531,21
2021,EStu,78526,0,1480,0
2022,EStu,253990,0,4700,0
2022,ESum,886865,0,63782,18682
2022,Late,1870243,0,440559,131646
2022,Summ,3563610,0,660391,201986