Row Labels,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
Early Stuart,1.7,0.0,0.0,,,21.7,65.8,,149.2,247.4,,15.4,9.9,51.9,,,168.9,47.9,176.6,121.3,28.2,214.3,1320.21
Chilliwack,0.0,0.0,0.0,251.1,215.2,,1.8,,,9.4,,0.5,,,,,392.7,83.2,,,25.5,,979.36
Pitt Alouette Coquitlam,19.6,211.7,4.5,"1,673.3",587.1,"6,271.7",450.4,"3,406.3",1.0,2.1,,1.8,2.6,,,,625.9,479.9,,212.0,0.0,498.0,14447.86
Nadina Bowron,136.1,62.5,1.0,776.1,462.1,"6,175.8",8.4,38.9,3.8,130.6,,227.3,3.3,15.8,812.1,981.0,663.6,150.7,671.6,"3,193.8",40.7,768.1,15323.35
Gates Nahatlatch,108.7,46.2,0.6,731.6,"2,454.0","2,838.8",429.3,"5,654.3",0.8,295.4,,551.1,156.2,309.4,"1,111.4","1,728.2","1,168.4",576.9,42.2,735.6,589.9,329.7,19858.86
Taseko,3.0,7.3,0.1,58.1,86.9,1.8,3.3,,0.0,,,0.2,0.2,,,,,,,,0.0,,160.80
North Barriere,8.5,16.6,0.6,736.7,493.5,2.6,"1,040.1",,0.7,25.1,,2.5,0.3,,,,,,177.5,,20.9,,2525.63
Early South Thompson,95.6,41.9,28.2,"2,066.2","1,847.4",72.1,"6,005.5","9,855.0",0.1,2.0,,121.8,,649.5,"15,629.6","7,132.8",245.8,129.2,"10,129.0","2,625.1",56.4,"4,561.3",61294.43
Harrison,2.6,323.1,0.0,"1,158.4",94.6,0.7,23.1,"2,616.4",7.9,1.3,,"1,737.0",15.0,216.8,"1,130.9","1,875.1",73.1,55.2,,212.1,31.2,235.8,9810.26
Widgeon,0.0,2.5,0.0,,,,,,,,,,,,,,,,,,0.0,,2.52
Late Stuart,492.0,"3,964.7",8.8,"2,056.6","10,620.4","29,292.5",528.5,405.2,138.6,771.0,,971.0,659.1,"1,171.6","6,948.0","2,084.6",666.0,"2,595.1",619.6,"3,079.5",360.7,"9,036.1",76469.67
Stellako,398.8,"1,563.2",69.1,"3,606.9","13,593.6","1,250.8","1,309.0","2,221.6",33.3,1.0,,"1,245.0",,"1,816.6","23,991.1","10,390.9","3,051.5",39.8,"2,070.0","4,260.5",807.9,"1,028.3",72748.91
Chilko,707.4,"4,698.1",45.2,"21,671.7","11,943.8","50,845.7","1,426.3","44,084.5",387.2,"1,716.7",,"8,190.8","4,921.3","22,860.0","31,531.4","53,138.5","21,207.7","7,942.2","6,896.5","44,806.0","4,860.5","49,097.2",392978.83
Horsefly,31.3,"16,472.1",216.9,"8,163.3","2,246.0","85,063.2","2,459.0","6,585.8",220.9,"1,794.1",,33.5,43.3,"2,064.8","29,063.0","4,366.2",869.3,"2,444.1","9,002.5","7,451.9",0.0,844.8,179436.05
Mitchell,27.2,"11,030.7",113.9,"3,759.9","2,588.0","93,942.2","1,389.3","18,171.0",304.7,"3,513.9",,106.9,46.9,"7,712.6","22,986.9","2,995.4",167.1,"1,796.9","2,578.4","4,871.6",0.0,"2,009.7",180113.19
Raft North Thompson,86.5,101.4,1.6,"1,314.7","2,042.8","4,145.5",791.4,"12,983.4",269.3,801.8,,498.8,626.9,623.9,"1,768.6","9,023.0","4,118.3",852.7,133.9,"1,962.8",51.4,"4,609.9",46808.49
Birkenhead Big Silver,36.2,"1,203.2",13.8,"6,618.7","8,545.9","1,193.5","2,647.7","37,198.8",123.2,729.0,,"2,307.2",700.0,"2,016.5",,"6,069.6","1,354.9",641.1,487.3,599.1,264.3,"4,823.3",77573.24
Late Shuswap Portage,57.9,"1,385.5",229.0,"9,579.2",478.6,"29,806.4","17,847.8","13,212.9",28.8,"1,645.2",,"2,176.5",14.5,"6,010.9","49,001.0","3,528.0",655.7,517.7,"20,749.1","3,507.0",316.4,"3,427.6",164175.59
Weaver Cultus,281.4,"1,627.3",19.7,"3,522.8","4,814.0",,239.1,"9,114.2",77.6,"1,248.3",,103.7,1.4,915.2,"1,740.9","1,104.1",,315.1,,,0.0,"5,313.0",30437.48