Year,US.Commercial,US.Test,US.Subsistence,US.total,CDN.FN,CDN.Sport,CDN.total,estimate,ci.lower,ci.upper,canadian.harvest,spawning.esc,us.harvest,total.inriver.run,spw.esc.percent.klukshu
1960,,,,,,,,,,,,,,,
1961,23339,,,23339,,,,,,,,,,,
1962,,,,,,,,,,,,,,,
1963,6055,,,6055,,,,,,,,,,,
1964,14128,,,14128,,,,,,,,,,,
1965,28487,,,28487,,,,,,,,,,,
1966,29091,,,29091,,,,,,,,,,,
1967,11108,,,11108,,,,,,,,,,,
1968,26918,,,26918,,,,,,,,,,,
1969,29259,,,29259,,,,,,,,,,,
1970,22654,,,22654,,,,,,,,,,,
1971,25314,,,25314,,,,,,,,,,,
1972,18717,,,18717,,,,,,,,,,,
1973,26523,,,26523,,,,,,,,,,,
1974,16747,,,16747,,,,,,,,,,,
1975,13842,,,13842,,,,,,,,,,,
1976,19741,,51,19792,4000,600,4600,,,,,,,,
1977,40780,,113,40893,10000,500,10500,,,,,,,,
1978,50580,,,50580,8000,500,8500,,,,,,,,
1979,41449,,35,41484,7000,750,7750,,,,,,,,
1980,25522,,41,25563,800,600,1400,,,,,,,,
1981,23641,,50,23691,2000,808,2808,,,,,,,,
1982,27443,,75,27518,5000,755,5755,,,,,,,,
1983,18293,,25,18318,2550,732,3282,,,,,,,,
1984,14326,,,14326,2600,289,2889,,,,,,,,
1985,5792,,95,5887,1361,100,1461,,,,,,,,
1986,24791,,241,25032,1914,307,2221,,,,,,,,
1987,11393,,173,11566,1158,383,1541,,,,,,,,
1988,6286,,148,6434,1604,322,1926,,,,,,,,
1989,13513,,131,13644,1851,319,2170,,,,,,,,
1990,17013,,144,17157,2314,392,2706,,,,,,,,
1991,17542,,104,17646,2111,303,2414,,,,,,,,
1992,19298,,37,19335,2592,582,3174,,,,,,,,
1993,20043,,96,20139,2361,329,2690,,,,,,,,
1994,19639,,47,19686,1745,261,2006,,,,,,,,
1995,33112,,167,33279,1745,682,2427,,,,,,,,
1996,15182,,67,15249,1204,157,1361,,,,,,,,
1997,25879,,273,26152,484,36,520,,,,,,,,
1998,15007,,158,15165,567,18,585,,,,,,,,
1999,11441,,152,11593,554,0,554,,,,,,,,
2000,9522,,146,9668,745,0,745,37887,23410,52365,745,37142,9668,47555,14.60%
2001,13995,,72,14067,1173,4,1177,31164,23143,39185,1177,29987,14067,45231,31.10%
2002,16918,,232,17150,2194,61,2255,95427,55893,134961,2255,93172,17150,112577,25.30%
2003,39698,,176,39874,2734,61,2795,103507,74350,132664,2795,100712,39874,143381,31.90%
2004,18030,,224,18254,1875,247,2122,83703,39566,127841,2122,81581,18254,101957,16.80%
2005,7572,222,63,7857,581,13,594,57817,21907,93727,594,57223,7857,65674,5.50%
2006,9842,224,272,10338,1321,6,1327,48901,41234,56569,1327,47574,10338,59239,27.10%
2007,19795,367,298,20460,1330,10,1340,,,,,,,,
2008,2815,55,200,3070,0,0,0,,,,,,,,
2009,12906,,252,13158,715,2,717,,,,,,,,
2010,12668,,249,12917,1704,12,1716,,,,,,,,
2011,24169,157,230,24556,2053,57,2110,86009,72970,99049,2110,83899,24556,110565,24.80%
2012,18217,90,275,18582,1734,52,1786,78384,64311,92456,1786,76598,18582,96966,22.40%
2013,7517,,147,7664,508,0,508,84279,16466,152091,508,83771,7664,91943,4.50%
2014,33668,,147,33815,1140,0,1140,88233,69508,106958,1140,87093,33847,122080,13.90%
2015,16104,,163,16267,1084,0,1084,64793,47474,82111,1084,63709,16267,81060,17.80%
2016,6709,,181,6890,815,0,815,59651,43558,75743,815,58836,6890,66541,12.60%
2017,4883,,125,5008,584,38,622,102186,57832,146540,622,101564,5008,107194,3.70%
2018,1363,,142,1505,0,0,0,19928,17086,22770,0,19928,1505,21433,35.80%
2019,9787,,229,10016,648,5,653,82536,69077,95995,653,81883,10016,92552,22.90%
2020,2518,,188,2706,218,0,218,13289,11618,14960,218,13071,2706,15995,32.80%
2021,8877,,80,8957,1512,7,1519,101317,83903,118731,1519,99798,8957,110274,25.70%
2022,4693,,150,4843,1722,7,1729,136147,124142,148152,1729,134418,4843,140990,22.00%
2023,2744,,133,2877,880,0,880,35607,32646,38568,880,34727,2877,38484,39.40%