year,Gillnet,Sport,Personal.Use,total
1992,74226,431,88,74745
1993,32456,3222,25,35703
1994,82181,19018,93,101292
1995,51286,7857,97,59240
1996,14491,2461,67,17019
1997,1489,4963,27,6479
1998,12972,3984,86,17042
1999,5572,3393,44,9009
2000,7352,4137,31,11520
2001,9212,2505,22,11739
2002,26981,6189,68,33238
2003,19659,5421,59,25139
2004,13058,12720,120,25898
2005,18011,3573,134,21718
2006,32051,3985,134,36170
2007,15753,804,60,16617
2008,23806,493,91,24390
2009,36757,5949,240,42946
2010,41695,13301,258,55254
2011,4829,4340,224,9393
2012,10760,662,132,11554
2013,23269,1793,238,25300
2014,28297,2628,224,31149
2015,6239,3063,256,9558
2016,11406,418,169,11993
2017,7559,4649,178,12386
2018,17287,7274,246,24807
2019,6317,3476,306,10099
2020,2557,0,279,2836
2021,10977,2439,210,13626
2022,12066,4364,181,16611
2023,12292,4997,226,17515