year,D111.Sport,D111.Gillnet,D108.Sport,D108.Gillnet
2004,0.538,0.859,0.655,0.299
2005,0.578,0.919,0.738,0.887
2006,0.652,0.905,0.718,0.642
2007,0.451,0.492,0.604,0.489
2008,0.226,0.483,0.614,0.387
2009,0.255,0.813,0.517,0.128
2010,0.453,0.539,0.546,0.215
2011,0.454,0.809,0.509,0.346
2012,0.494,0.876,0.423,0.248
2013,0.125,0.753,0.49,0.068
2014,0.396,0.635,0.354,0.043
2015,0.486,0.592,0.449,0.047
2016,0.587,0.749,0.304,0.22
2017,0.031,0.464,0.212,0.008
2018,0.007,0.118,,0.006
2019,0.036,0.274,0.012,0.046
2020,0.055,0.355,,0.057
2021,0.07,0.593,,
2022,0.044,0.112,0.032,0.244
2023,0.105,0.598,0,0.308