year,subsistence,sport,gillnet,troll,total
2005,15,3665,21233,2969,27882
2006,37,3346,17259,1418,22060
2007,36,2218,7057,1574,10885
2008,26,1453,4905,951,7335
2009,31,887,244,188,1350
2010,53,586,238,427,1304
2011,61,648,970,463,2142
2012,46,591,1209,506,2352
2013,41,636,455,434,1566
2014,44,697,204,677,1622
2015,34,781,379,306,1500
2016,20,438,1060,190,1708
2017,14,139,19,35,207
2018,22,12,5,0,39
2019,19,2,112,0,133
2020,6,93,62,0,161
2021,35,88,0,0,123
2022,25,6,31,0,62
2023,15,0,58,0,73