Area,Fishery,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Skeena/Nass,  Noyes,,,,0.03619769,0.069380403,0.01869396,0.073299278,0.048355987,0.071692949,0.070849308,0.075609545,0.037392914,0.122301966,0.027825796,0.038014562,0.102193862,0.082328515,0.026324526,0.012349604,0.065593603,0.005789295,0.032486062,0.080683128,0.072756885,0.044872993,0.150609563,0.012743993,0.033839293,0.003091827,0.036948389,0.011914483,0.008714488,0.044518876,0.074622509,0.088693471,0.031450219,0.018793021,0.104215705,0.055487974
Skeena/Nass,  Dall,,,,0.017165423,0.063120917,0.015827909,0.037339719,0.036729156,0.056186581,0.06114887,0.054439502,0.04527385,0.040163269,0.030878573,0.033609474,0.070802165,0.042100014,0.017202244,0.013322861,0.024330723,0.002786598,0.015983544,0.011532266,0.011804764,0.003546339,0.032261461,0.000598017,0.011031474,0.000170534,0.012004498,0.003082377,0.002432069,0.054874906,0.018557619,0.040088606,0.006941848,0.003888393,0.013363274,0.007991525
Skeena/Nass,  Cordova,,,,0.000463029,0.000711133,1.04613E-05,0.000254551,0.000105602,0.000235416,9.24013E-05,5.56859E-05,0.000165982,0.000329765,4.11581E-05,1.5221E-05,3.57577E-05,0.00032543,0,0.00023993,7.16978E-05,0.000100846,0.000139724,6.37163E-05,0.000300485,1.69839E-05,0.000598457,7.38633E-05,0.00107863,0.000133991,6.95342E-05,4.78596E-05,6.62273E-05,9.17759E-05,0.00062553,0.000449946,0.000262858,0.00055165,0.00111319,0.000266264
Skeena/Nass,  Sumner,,,,0.011078716,0.01014893,0.004220956,0.001345872,0.010563973,0.012801751,0.006355342,0.005556572,0.006189547,0.009151886,0.011005133,0.006493649,0.007072034,0.015885995,0.004365212,0.002693191,0.004657939,0.001647395,0.002594566,0.007506694,0.015569298,0.004337458,0.00362817,0.001508076,0.011220499,0.007684068,0.003815941,0.000613407,0.002647053,0.001744264,0.006537222,0.01150842,0.002204776,0.001862479,0.001888089,0.000999134
Skeena/Nass,  U. Clar,,,,0.006804151,0.007264426,0.002944343,0.000877417,0.008411857,0.008992342,0.003898231,0.002096581,0.003836838,0.00374127,0.007133178,0.00327873,0.005656239,0.008106587,0.0018921,0.001715985,0.00303769,0.000640013,0.001285639,0.003628013,0.005680972,0.0043139,0.001478883,0.001279376,0.005242804,0.006958223,0.002223889,0.000425987,0.002051007,0.002764258,0.005887149,0.008365343,0.001750046,0.002499442,0.003314572,0.001293209
Skeena/Nass,  M. Clar,,,,5.2113E-05,0.000296605,0,0,0.000324883,0.000393828,3.6028E-05,9.93579E-05,5.38788E-05,0.000996041,0.000816228,0.000275267,0.000544359,0.00097454,0.000644816,0.000132375,0.001293581,0.000234107,0.000463326,0.001896227,0.001744168,5.86217E-05,0.000412053,0.000285579,0.002349405,8.95662E-05,2.73314E-05,4.45715E-05,0.000141624,0.000726624,0.001296831,0.000864381,2.10849E-06,0.000597661,0.004365269,0.001595524
Skeena/Nass,  L. Clar,,,,0.011025146,0.012174799,0.009622011,0.006079018,0.030259453,0.020954578,0.008995772,0.005927216,0.011977754,0.018232365,0.02728661,0.00735598,0.005667387,0.019165371,0.012530999,0.01325611,0.018837384,0.010396167,0.004694656,0.024641033,0.022817084,0.011355626,0.010992791,0.005029817,0.026396184,0.013301663,0.010387527,0.009001989,0.023699169,0.0137486,0.021527727,0.022865457,0.007344569,0.013911561,0.029559515,0.026940045
Skeena/Nass,  Revilla,,,,0.002705671,0.006713188,0.00525156,0.004049878,0.01717624,0.004892199,0.003713217,0.00282764,0.00381743,0.003136561,0.005191373,0.001803109,0.000864706,0.005346265,0.003150112,0.003262365,0.002316281,0.001847647,0.002361089,0.006444883,0.005776427,0.001820834,0.001199458,0.000494134,0.005204749,0.005927853,0.001516489,0.001116846,0.006842804,0.003322495,0.006824449,0.006807587,0.003317356,0.000770681,0.004911032,0.00146986
Skeena/Nass,  Union,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skeena/Nass,  Tree,,,,0.023140135,0.053113494,0.027807756,0.022998359,0.034496596,0.022505372,0.024857212,0.031574531,0.050926057,0.024250221,0.022233906,0.021338618,0.028331047,0.084082221,0.081786603,0.014647175,0.013901515,0.038135007,0.027267291,0.047194308,0.037419973,0.014963326,0.020462006,0.012391661,0.036919223,0.025953433,0.028634027,0.016841464,0.038782682,0.010740391,0.005900415,0.012666691,0.010635217,0.007370357,0.011110232,0.004319966
Skeena/Nass,  Term. 101,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skeena/Nass,  Dist. 1031,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001326468,0.002370856,0.008741739,0.003525246,0.010595637,0.00046372,0.003859113,3.79761E-05,0.0003537,7.19721E-05,0.000225173,0.000416521,0.005041721,0.000592452,0.000605839,0.000433269,0.002842133,0.005167685
Skeena/Nass,  Dist. 105,,,,5.56736E-05,4.99672E-05,0,2.56594E-05,0,2.51446E-06,4.55648E-05,3.24699E-07,0.000848447,5.34146E-06,0.001557663,8.31303E-06,0.001192204,0.000412911,0.000106152,8.27343E-06,1.95356E-05,1.44066E-06,0.000265233,3.2812E-05,0.000482922,1.15052E-05,0.000102105,0,0.000102935,2.93777E-05,0.000110129,3.6534E-07,3.26042E-05,1.54267E-05,0.000169152,0,0.000431537,0.000197942,6.16587E-05,0.000185406
Skeena/Nass,  Term. 108,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skeena,  Noyes,0.027958192,0.10433418,0.037998021,0.038772895,0.062726969,0.014487332,0.075161073,0.046562036,0.073162739,0.075757656,0.087415099,0.038288333,0.129074396,0.024829345,0.031240742,0.08554509,0.063606323,0.026524333,0.012196081,0.062012122,0.007377622,0.035593277,0.069615908,0.088098475,0.038811456,0.126339037,0.009668084,0.028666155,0.003813211,0.041827851,0.013467814,0.011973877,0.047982336,0.088171093,0.096755935,0.036734462,0.020312444,0.127630987,0.058723173
Skeena,  Dall,0.013428889,0.02736015,0.031748222,0.018279108,0.057293826,0.012350226,0.037684841,0.034418192,0.054335954,0.064268262,0.0635778,0.043437689,0.03849713,0.026873012,0.028027586,0.054999181,0.032088841,0.018055636,0.01320839,0.022919601,0.003431621,0.016662332,0.009766351,0.013324639,0.003460371,0.027026801,0.000472271,0.009167759,0.000187107,0.012241149,0.00344902,0.003380933,0.061504172,0.022086453,0.043828655,0.00815436,0.004176807,0.015174913,0.008515701
Skeena,  Cordova,1.11555E-05,0.000106246,3.13046E-05,0.000444584,0.000686469,0,0.000219352,8.81145E-05,0.000240267,8.56485E-05,5.11969E-05,0.000129791,0.000295962,3.27985E-05,0,2.92596E-05,0.000386889,0,5.60499E-05,6.22623E-05,8.16012E-05,3.52269E-05,4.8321E-05,0.000285431,1.77366E-05,0.000627481,3.76516E-05,0.00059263,0.000180835,8.28469E-05,4.55681E-05,0.000118739,8.0309E-05,0.000751062,0.000503581,0.00035099,0.000638806,0.001524787,0.000287278
Skeena,  Sumner,0.004116663,0.000964857,0.00102605,0.007742663,0.004834043,0.001583042,0.000750744,0.008517098,0.009047849,0.001920973,0.004689164,0.006024446,0.006910439,0.010491059,0.004284697,0.005122018,0.01568595,0.000689475,0.00181768,0.001750187,0.00089397,0.001550924,0.002757968,0.010052605,0.001828954,0.00227363,0.00054618,0.003921672,0.005699956,0.002218744,0.000550357,0.000864502,0.001701146,0.003702663,0.010995742,0.001389732,0.001750927,0.001422648,0.0006195
Skeena,  U. Clar,0.002923816,0.000858611,0.002710731,0.00441643,0.003442112,0.00157471,0.000535389,0.006910529,0.007462969,0.001332871,0.001811181,0.003809586,0.003347129,0.007275738,0.002317533,0.006050077,0.008461698,0.00044385,0.001312165,0.001305,0.000468478,0.000736477,0.002373846,0.00356109,0.002595105,0.001317291,0.000867845,0.002896977,0.005893335,0.001258755,0.000409671,0.000810341,0.002645006,0.003860144,0.008115022,0.001290127,0.00251964,0.00340706,0.000985127
Skeena,  M. Clar,0,0.000308571,0.000117392,2.00466E-05,0.000149775,0,0,0.000266242,0.000412568,3.93664E-05,6.61988E-05,6.31074E-06,0.00124782,0.000800711,0.000283981,0.000452725,0.000965228,0.000718563,0.000104641,0.001097687,0.000191617,0.000479086,0.002019085,0.001665467,2.71265E-05,0.000313508,0.000236601,0.001522932,0.00010871,2.17473E-05,5.35315E-05,0.000266642,0.000763088,0.001687561,0.000961222,1.89725E-06,0.000648973,0.005650466,0.001808698
Skeena,  L. Clar,0.007712202,0.01047312,0.009573442,0.008607477,0.005594314,0.003793468,0.002374899,0.026111885,0.01174479,0.004728752,0.003420432,0.009339269,0.01475803,0.02289263,0.005817207,0.004322434,0.012851092,0.005169988,0.012919828,0.012157115,0.008091632,0.002448506,0.014212496,0.021231529,0.010442323,0.006218992,0.003469057,0.012630118,0.011918376,0.00548343,0.004920473,0.009384537,0.013333431,0.019446087,0.02023749,0.006002884,0.013888803,0.029755232,0.027543474
Skeena,  Revilla,0.002781715,0.003475112,0.002693843,0.002455987,0.002307946,0.001320174,0.001658632,0.007261087,0.002694369,0.001855273,0.0017326,0.002904835,0.002217694,0.004047226,0.001322129,0.00067696,0.003146962,0.001808796,0.0030625,0.001307509,0.001497236,0.001410955,0.003652213,0.005117821,0.001347284,0.000840518,0.000355598,0.002498971,0.00529752,0.000763745,0.00059681,0.002691414,0.003115867,0.004802233,0.006284459,0.00325757,0.000674954,0.004410209,0.001368974
Skeena,  Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skeena,  Tree,0.012218246,0.011072979,0.003471928,0.011010256,0.013332147,0.006440481,0.007073481,0.01282825,0.009371144,0.014078532,0.006253648,0.009377555,0.003426175,0.007064687,0.006549334,0.010710326,0.040056956,0.016217754,0.006732811,0.003176746,0.011168434,0.008087161,0.00816931,0.009905812,0.002321753,0.004625405,0.003259881,0.003804897,0.010043129,0.008346308,0.00314774,0.005401577,0.003681084,0.001361883,0.007492465,0.002548949,0.002301621,0.002510913,0.000522324
Skeena,  Term. 101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skeena,  Dist. 1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000324557,0.002101047,0.009136507,0.003793193,0.010835559,0.00018175,0.002120427,5.12191E-05,0.000422519,7.34399E-05,0.000393713,0.000364902,0.006054159,0.000663196,0.000804432,0.000500991,0.003893435,0.005573074
Skeena,  Dist. 105,0,4.57519E-06,4.11903E-07,4.08426E-05,3.09318E-05,0,7.99461E-06,0,2.57166E-06,3.13867E-05,2.38125E-07,0.000918003,4.77951E-06,0.001571654,6.67877E-06,0.001348599,0.000377915,3.23192E-05,6.39353E-06,1.07192E-05,1.45716E-06,0.000172847,2.20197E-05,0.000400509,1.00855E-05,8.79125E-05,0,5.35216E-05,2.61322E-05,1.60516E-05,4.42409E-07,8.33255E-06,1.49625E-05,9.97068E-05,0,0.000461979,0.000176787,5.8365E-05,0.000155482
Skeena,  Term. 108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nass,  Noyes,,,,0.01985967,0.087988842,0.036633811,0.05472168,0.056406952,0.06298858,0.051607097,0.050316211,0.03541362,0.100297681,0.042209028,0.086109962,0.1651137,0.108707289,0.026104465,0.013500388,0.092640339,0.004236543,0.02686773,0.099032067,0.047368552,0.06735934,0.237254347,0.030139542,0.043079175,0.001519566,0.02002116,0.004550974,0.005594068,0.023884632,0.041149975,0.057752814,0.016340259,0.010279294,0.053236972,0.037443173
Nass,  Dall,,,,0.010099809,0.079418224,0.030659053,0.033895981,0.047100393,0.067146335,0.048919912,0.034860751,0.049332623,0.045576715,0.050105627,0.073241932,0.130525562,0.056205332,0.016262343,0.014180919,0.034987281,0.002156021,0.01475619,0.014460071,0.009289569,0.00386525,0.050948983,0.001309158,0.014360304,0.000134414,0.01118354,0.00134432,0.001523661,0.015379745,0.009839436,0.025735726,0.003474746,0.002272332,0.009419053,0.005067854
Nass,  Cordova,,,,0.000580053,0.000780113,5.50751E-05,0.000605775,0.000184086,0.000206691,0.000118874,6.53033E-05,0.00024598,0.000439593,8.12847E-05,0.000123293,6.03159E-05,0.000238837,0,0.001618257,0.000142953,0.00011966,0.00032867,8.92409E-05,0.000325397,1.41915E-05,0.000494844,0.000278656,0.001946689,3.18949E-05,2.33514E-05,5.87222E-05,1.59546E-05,0.000160092,0.000315396,0.000244112,1.08501E-05,6.32961E-05,0.000217078,0.000149055
Nass,  Sumner,,,,0.032244031,0.025013698,0.015470768,0.007284258,0.019750018,0.03503306,0.023739411,0.007414988,0.006554496,0.016434566,0.013472732,0.022177626,0.014441631,0.016167849,0.008413561,0.009255857,0.026616788,0.002383946,0.004481635,0.015379861,0.024698706,0.013643198,0.008463821,0.006947999,0.02425713,0.012008448,0.00935674,0.000912292,0.004353601,0.00200115,0.013540159,0.013475883,0.004535344,0.002487539,0.002901428,0.003116595
Nass,  U. Clar,,,,0.021952852,0.017954738,0.008785364,0.004290283,0.015149578,0.018049575,0.01395522,0.002708047,0.003897079,0.005021872,0.006448875,0.010103415,0.004167827,0.007606251,0.003487161,0.004742948,0.016122671,0.000807707,0.00227861,0.005707362,0.0091891,0.010690075,0.00205576,0.003606756,0.009432749,0.009279151,0.005572011,0.000503334,0.003238776,0.003474724,0.010894977,0.00932598,0.003065155,0.002386265,0.003113211,0.003011579
Nass,  M. Clar,,,,0.000255556,0.000707262,0,0,0.000588052,0.000282841,2.29407E-05,0.000170401,0.000159026,0.000177987,0.00089071,0.000213392,0.000890664,0.000987661,0.000563594,0.000340265,0.002772941,0.000275646,0.00043483,0.001692535,0.001874409,0.000175459,0.000763853,0.00056257,0.003825591,4.78424E-05,4.67029E-05,2.09722E-06,2.19375E-05,0.000509384,0.000331511,0.000492744,2.71253E-06,0.000310151,0.001567195,0.000406512
Nass,  L. Clar,,,,0.026363867,0.030579211,0.034478777,0.043039944,0.048873071,0.075496657,0.025723778,0.011297985,0.017810038,0.02952082,0.048378113,0.018281556,0.010750299,0.028061923,0.020638201,0.015776811,0.069285632,0.012649086,0.008756047,0.041931062,0.025440972,0.014743685,0.028035059,0.013856566,0.050984121,0.016316544,0.027400213,0.028350261,0.037403475,0.016222048,0.026670534,0.03295059,0.011181034,0.014039085,0.02913341,0.023574327
Nass,  Revilla,,,,0.004289774,0.019033844,0.022017596,0.027910525,0.061673851,0.017908155,0.010996918,0.005173758,0.005834691,0.006122049,0.010683382,0.005218153,0.001574244,0.00844499,0.004627399,0.00476052,0.009934362,0.00219021,0.004079078,0.011075001,0.006866333,0.00357755,0.002480861,0.001277612,0.010037613,0.007301665,0.004127815,0.003582057,0.010817193,0.004553525,0.011820445,0.008815153,0.003488309,0.001307065,0.006001403,0.002032562
Nass,  Union,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nass,  Tree,,,,0.100097111,0.164374642,0.11893197,0.181902034,0.13174065,0.100288715,0.067112897,0.085824383,0.142767666,0.091909578,0.095047534,0.12634532,0.094924118,0.146111947,0.154002226,0.073971776,0.094893138,0.064497587,0.06194797,0.111895943,0.082952323,0.061859486,0.076998025,0.064035684,0.096065603,0.060630016,0.099013671,0.081756047,0.070740531,0.052797607,0.017113113,0.032523394,0.033757392,0.035771817,0.029832294,0.025501873
Nass,  Term. 101,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nass,  Dist. 1031,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003138079,0.002818188,0.008088448,0.002531249,0.009739123,0.002058374,0.006964626,9.11284E-06,0.000114961,6.50139E-05,6.38182E-05,0.000724052,0.002540435,0.000320962,3.79754E-05,5.38017E-05,0.000553283,0.002906563
Nass,  Dist. 105,,,,0.000149768,0.000103206,0,0.000201925,0,2.1757E-06,0.000101147,5.10182E-07,0.000694695,7.16728E-06,0.001490506,1.99166E-05,0.000601148,0.00046222,0.000187469,2.23649E-05,8.61162E-05,1.42453E-06,0.000432282,5.07051E-05,0.000619305,1.67718E-05,0.000152771,0,0.000191193,3.64514E-05,0.000436492,0,5.5841E-05,1.81923E-05,0.00034072,0,0.000344491,0.000316481,6.88295E-05,0.000352311
Nass,  Term. 108,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
