CU,SpeciesId,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3,ER Indicator,ER Indicator Lookup,ER Source,StatArea
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1982,5000,1,5000,1,5000,1,5000,6829,0.454,11829,10030,0.667,15030,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1983,500,1,500,1,500,1,500,1090,0.481,1590,1766,0.779,2266,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1984,1000,1,1000,1,1000,1,1000,1514,0.405,2514,2737,0.732,3737,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1985,15000,1,15000,1,15000,1,15000,15321,0.380,30321,25304,0.628,40304,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1986,10000,1,10000,1,10000,1,10000,11287,0.257,21287,33837,0.772,43837,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1987,2000,1,2000,1,2000,1,2000,3342,0.432,5342,5745,0.742,7745,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1988,2000,1,2000,1,2000,1,2000,2063,0.305,4063,4771,0.705,6771,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1989,5000,1,5000,1,5000,1,5000,13428,0.411,18428,27650,0.847,32650,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1990,4000,1,4000,1,4000,1,4000,3904,0.271,7904,10431,0.723,14431,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1991,3000,1,3000,1,3000,1,3000,6770,0.494,9770,10719,0.781,13719,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1992,4500,1,4500,1,4500,1,4500,9366,0.514,13866,13735,0.753,18235,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1993,8150,1,8150,1,8150,1,8150,24690,0.539,32840,37665,0.822,45815,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1994,3875,1,3875,1,3875,1,3875,3944,0.326,7819,8239,0.680,12114,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1995,1035,1,1035,1,1035,1,1035,3650,0.534,4685,5795,0.848,6830,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1996,1543,1,1543,1,1543,1,1543,4610,0.452,6153,8668,0.849,10210,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1997,3000,1,3000,1,3000,1,3000,4085,0.298,7085,10697,0.781,13697,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1998,8190,1,8190,1,8190,1,8190,4363,0.179,12553,16132,0.663,24322,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1999,1200,1,1200,1,1200,1,1200,2795,0.507,3995,4316,0.782,5516,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2000,500,1,500,1,500,1,500,967,0.540,1467,1291,0.721,1791,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2001,1750,1,1750,1,1750,1,1750,2317,0.329,4067,5303,0.752,7053,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2002,463,1,463,1,463,1,463,1039,0.625,1501,1201,0.722,1663,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2003,1568,1,1568,1,1568,1,1568,3344,0.559,4912,4414,0.738,5981,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2004,586,1,586,1,586,1,586,954,0.365,1540,2025,0.776,2611,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2005,505,1,505,1,505,1,505,465,0.340,970,863,0.631,1368,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2006,1701,1,1701,1,1701,1,1701,1839,0.389,3540,3028,0.640,4729,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2007,2067,1,2067,1,2067,1,2067,2094,0.221,4161,7396,0.782,9463,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2008,2000,1,2000,1,2000,1,2000,1183,0.312,3183,1797,0.473,3797,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2009,1716,1,1716,1,1716,1,1716,1009,0.243,2725,2444,0.588,4160,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2010,1970,1,1970,1,1970,1,1970,1048,0.305,3018,1471,0.427,3441,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2011,2996,1,2996,1,2996,1,2996,1967,0.319,4963,3163,0.514,6159,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2012,1915,1,1915,1,1915,1,1915,1814,0.433,3729,2269,0.542,4184,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2013,2300,1,2300,1,2300,1,2300,2226,0.413,4526,3086,0.573,5386,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2014,4549,1,4549,1,4549,1,4549,2877,0.328,7426,4230,0.482,8779,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2015,4117,1,4117,1,4117,1,4117,4240,0.422,8357,5939,0.591,10056,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2016,3548,1,3548,1,3548,1,3548,941,0.161,4489,2311,0.394,5859,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2017,2140,1,2140,1,2140,1,2140,724,0.230,2864,1001,0.319,3141,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2018,4675,1,4675,1,4675,1,4675,1349,0.205,6024,1913,0.290,6588,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2019,1777,1,1777,1,1777,1,1777,480,0.167,2257,1103,0.383,2880,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2020,4883,1,4883,1,4883,1,4883,1110,0.159,5993,2079,0.299,6962,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2021,11058,1,11058,1,11058,1,11058,2044,0.117,13102,6379,0.366,17437,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2022,21051,1,21051,1,21051,1,21051,3571,0.116,24622,9665,0.315,30716,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2023,11315,1,11315,1,11315,1,11315,2011,0.121,13326,5253,0.317,16568,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1982,20000,1,20000,1,20000,1,20000,25618,0.444,45618,37664,0.653,57664,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1983,2000,1,2000,1,2000,1,2000,3273,0.497,5273,4587,0.696,6587,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1984,6000,1,6000,1,6000,1,6000,6146,0.385,12146,9957,0.624,15957,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1985,15000,1,15000,1,15000,1,15000,11200,0.348,26200,17187,0.534,32187,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1986,25000,1,25000,1,25000,1,25000,22653,0.287,47653,53895,0.683,78895,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1987,7500,1,7500,1,7500,1,7500,7807,0.374,15307,13374,0.641,20874,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1988,2500,1,2500,1,2500,1,2500,2151,0.295,4651,4793,0.657,7293,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1989,15000,1,15000,1,15000,1,15000,28493,0.434,43493,50621,0.771,65621,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1990,14000,1,14000,1,14000,1,14000,9002,0.228,23002,25516,0.646,39516,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1991,2000,1,2000,1,2000,1,2000,3386,0.500,5386,4769,0.705,6769,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1992,5000,1,5000,1,5000,1,5000,8410,0.519,13410,11213,0.692,16213,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1993,12000,1,12000,1,12000,1,12000,34418,0.573,46418,48103,0.800,60103,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1994,2375,1,2375,1,2375,1,2375,2526,0.338,4901,5098,0.682,7473,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1995,1125,1,1125,1,1125,1,1125,4621,0.614,5746,6407,0.851,7532,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1996,1000,1,1000,1,1000,1,1000,2815,0.524,3815,4374,0.814,5374,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1997,9000,1,9000,1,9000,1,9000,15551,0.331,24551,37960,0.808,46960,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1998,3500,1,3500,1,3500,1,3500,1802,0.227,5302,4422,0.558,7922,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1999,13000,1,13000,1,13000,1,13000,27774,0.524,40774,40050,0.755,53050,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2000,500,1,500,1,500,1,500,1068,0.568,1568,1381,0.734,1881,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2001,1408,1,1408,1,1408,1,1408,1566,0.333,2974,3292,0.700,4700,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2002,5887,1,5887,1,5887,1,5887,15403,0.654,21290,17649,0.750,23536,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2003,7078,1,7078,1,7078,1,7078,17279,0.631,24357,20289,0.741,27367,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2004,800,1,800,1,800,1,800,1543,0.474,2343,2455,0.754,3255,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2005,4235,1,4235,1,4235,1,4235,4570,0.392,8805,7431,0.637,11666,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2006,5287,1,5287,1,5287,1,5287,6608,0.426,11895,10229,0.659,15517,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2007,5665,1,5665,1,5665,1,5665,5678,0.348,11343,10659,0.653,16324,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2008,5531,1,5531,1,5531,1,5531,3336,0.332,8867,4520,0.450,10051,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2009,6231,1,6231,1,6231,1,6231,4557,0.306,10788,8651,0.581,14882,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2010,5771,1,5771,1,5771,1,5771,2760,0.282,8531,4027,0.411,9798,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2011,10273,1,10273,1,10273,1,10273,6806,0.319,17079,11065,0.519,21338,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2012,3688,1,3688,1,3688,1,3688,3273,0.422,6961,4075,0.525,7763,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2013,397,1,397,1,397,1,397,359,0.393,756,516,0.565,913,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2014,438,1,438,1,438,1,438,250,0.306,688,382,0.466,820,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2015,7044,1,7044,1,7044,1,7044,7177,0.409,14221,10489,0.598,17533,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2016,19797,1,19797,1,19797,1,19797,5105,0.153,24902,13570,0.407,33367,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2017,7240,1,7240,1,7240,1,7240,2375,0.223,9615,3391,0.319,10631,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2018,290,1,290,1,290,1,290,84,0.203,374,123,0.298,413,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2019,6007,1,6007,1,6007,1,6007,1555,0.157,7562,3895,0.393,9902,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2020,3256,1,3256,1,3256,1,3256,741,0.155,3997,1514,0.317,4770,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2021,8441,1,8441,1,8441,1,8441,1561,0.111,10002,5583,0.398,14024,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2022,5099,1,5099,1,5099,1,5099,861,0.112,5960,2569,0.335,7668,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2023,8490,1,8490,1,8490,1,8490,1495,0.118,9985,4167,0.329,12657,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1982,250000,1,250000,1,250000,1,250000,286424,0.447,536424,390853,0.610,640853,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1983,170000,1,170000,1,170000,1,170000,183287,0.376,353287,317256,0.651,487256,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1984,140000,1,140000,1,140000,1,140000,128115,0.354,268115,221606,0.613,361606,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1985,288663,1,288663,1,288663,1,288663,160538,0.280,449201,284018,0.496,572681,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1986,115543,1,115543,1,115543,1,115543,72859,0.230,188402,200999,0.635,316542,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1987,143989,1,143989,1,143989,1,143989,119826,0.337,263815,211064,0.594,355053,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1988,116984,1,116984,1,116984,1,116984,71717,0.248,188701,172483,0.596,289467,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1989,50000,1,50000,1,50000,1,50000,63691,0.356,113691,129075,0.721,179075,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1990,120954,1,120954,1,120954,1,120954,67985,0.231,188939,172812,0.588,293766,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1991,250000,1,250000,1,250000,1,250000,322611,0.428,572611,503898,0.668,753898,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1992,592118,1,592118,1,592118,1,592118,760296,0.452,1352414,1089902,0.648,1682020,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1993,400000,1,400000,1,400000,1,400000,737177,0.478,1137177,1142703,0.741,1542703,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1994,158010,1,158010,1,158010,1,158010,140804,0.335,298814,262515,0.624,420525,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1995,205853,1,205853,1,205853,1,205853,418712,0.493,624565,643801,0.758,849654,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1996,182082,1,182082,1,182082,1,182082,367896,0.445,549978,645115,0.780,827197,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1997,158687,1,158687,1,158687,1,158687,193129,0.337,351816,414578,0.723,573265,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1998,163925,1,163925,1,163925,1,163925,115289,0.263,279214,274485,0.626,438410,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,1999,180350,1,180350,1,180350,1,180350,369862,0.514,550212,538785,0.749,719135,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,2000,137042,1,137042,1,137042,1,137042,218636,0.535,355678,271400,0.664,408442,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
SX_L-24-05,SX,Meziadin,2001,116192,1,116192,1,116192,1,116192,146209,0.367,262401,282313,0.708,398505,5,5,5,"Hanna-Tin,MezBeach,Strohn",[LOOKUP CU],Sockeye Model,3
