Year,Species,AK harvest,Total Run,AKER
2018,Sockeye,22000,316000,0.07
2018,PinkEven,13000,269000,0.05
2018,Coho,59000,148000,0.4
2018,Chum,3000,50000,0.06
2018,Chinook,600,12600,0.05
2019,Sockeye,51000,377000,0.14
2019,PinkOdd,3000,178000,0.02
2019,Coho,75000,237000,0.32
2019,Chum,4000,29000,0.14
2019,Chinook,1000,21000,0.05
2020,Sockeye,31000,296000,0.1
2020,PinkEven,25000,769000,0.03
2020,Coho,124000,232000,0.53
2020,Chum,12000,114000,0.11
2020,Chinook,1000,22000,0.05
2021,Sockeye,90000,503000,0.18
2021,PinkOdd,69000,636000,0.11
2021,Coho,185000,374000,0.49
2021,Chum,40000,160000,0.25
2021,Chinook,1000,20000,0.05
2022,Sockeye,103000,622000,0.17
2022,PinkEven,25000,510000,0.05
2022,Coho,209000,511000,0.41
2022,Chum,18000,118000,0.15
2022,Chinook,1200,26200,0.05
2023,Sockeye,107000,696000,0.15
2023,PinkOdd,230000,2518000,0.09
2023,Coho,211000,479000,0.44
2023,Chum,10000,65000,0.15
2023,Chinook,800,16800,0.05
2024,Sockeye,41000,791000,0.05
2024,PinkEven,60000,2157000,0.03
2024,Coho,142000,310000,0.46
2024,Chum,5000,93000,0.05
2024,Chinook,1200,29200,0.04
2025,Sockeye,32000,479000,0.07
2025,PinkOdd,189000,2286000,0.08
2025,Coho,131000,299000,0.44
2025,Chum,17000,105000,0.16
2025,Chinook,1400,29400,0.05